nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_prediksi,BERT_P,BERT_R,BERT_F1
kios 45,"-1,2360465","116,8134757",Toko Perlengkapan Rumah,kios 45 adalah toko perlengkapan rumah yang menjual berbagai kebutuhan rumah tangga dan alat rumah di Balikpapan.,"KIOS 45 adalah toko perlengkapan rumah di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Menyediakan berbagai perlengkapan rumah tangga dan kebutuhan sehari-hari.",0.803470253944397,0.8640878796577454,0.8326772451400757
Khanza cake & cookies,"-1,2360416","116,8135079",Toko Kue,"Khanza cake & cookies adalah toko kue yang menjual aneka kue, roti, dan cookies buatan rumahan di Balikpapan.","Khanza cake & cookies adalah toko kue yang menyajikan berbagai jenis kue di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Menyediakan berbagai pilihan kue untuk memuaskan selera.",0.817164421081543,0.8502169251441956,0.8333630561828613
Bengkel Las Biru,"-1,2340515","116,8150303",Pabrik mekanis,"Bengkel Las Biru merupakan pabrik mekanis yang bergerak di bidang pengelasan, perakitan, dan pembuatan struktur logam di Balikpapan.","Bengkel Las Biru adalah pabrik mekanis yang beroperasi di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Menyediakan layanan perbaikan dan pemeliharaan mesin-mesin industri.",0.8112754225730896,0.865821897983551,0.837661623954773
Driver,"-1,2628859","116,881602",Kompleks Townhouse,Driver adalah kawasan kompleks townhouse yang menyediakan hunian modern dan nyaman di Balikpapan.,"Tidak ada informasi yang cukup untuk membuat deskripsi usaha. Jika Anda ingin menambahkan informasi lebih lanjut, saya dapat membantu.",0.629037618637085,0.64574134349823,0.6372800469398499
Cahaya Harapan Community School,"-1,2630508","116,8803633",Sekolah pendidikan umum,Cahaya Harapan Community School merupakan sekolah pendidikan umum yang menyediakan layanan pendidikan dasar hingga menengah di Balikpapan.,"Cahaya Harapan Community School adalah sekolah pendidikan umum terletak di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyediakan pendidikan untuk anak-anak dan remaja di daerah tersebut.",0.8072798848152161,0.886180579662323,0.8448922038078308
Balikpapan Agent Property,"-1,2574744","116,8831824",Agen Properti Komersial,Balikpapan Agent Property adalah agen properti komersial yang melayani penjualan dan penyewaan bangunan serta lahan usaha di Balikpapan.,"Balikpapan Agent Property adalah agen properti komersial yang berbasis di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyediakan layanan penjualan dan manajemen properti komersial.",0.8413797616958618,0.8812570571899414,0.860856831073761
Ekasolle Cakery,"-1,257341","116,8818955",Toko Kue,Ekasolle Cakery adalah toko kue yang menawarkan berbagai jenis cake dan pastry khas rumahan di Balikpapan.,"Ekasolle Cakery adalah toko kue yang menyajikan berbagai jenis kue di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menawarkan berbagai pilihan kue yang lezat untuk diminum.",0.8213130831718445,0.8722852468490601,0.8460321426391602
HOMEIDE.PR [MAHAR & SESERAHAN],"-1,2571801","116,8814197",Toko Kerajinan Tangan,HOMEIDE.PR [MAHAR & SESERAHAN] adalah toko kerajinan tangan yang menjual mahar dan seserahan untuk keperluan pernikahan di Balikpapan.,"HOMEIDE.PR [MAHAR & SESERAHAN] adalah toko kerajinan tangan yang menyajikan berbagai macam mahar dan seserahan di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menawarkan beragam produk unik dari kerajinan lokal.",0.8522588014602661,0.9035650491714478,0.8771623373031616
Pesona Alam Residence,"-1,2573862","116,8825877",Developer Rumah Hunian Khusus,"Pesona Alam Residence adalah developer rumah hunian khusus yang membangun perumahan modern dengan fasilitas lengkap di Balikpapan, Kalimantan Timur.","Pesona Alam Residence adalah developer rumah hunian khusus yang terletak di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menawarkan layanan dan produk rumah impian bagi calon pembeli.",0.8350043296813965,0.8716086745262146,0.8529139161109924
Ahmadstore,"-1,2354013","116,8134388",Kategori tidak ditemukan,Ahmadstore merupakan toko serbaguna yang menjual berbagai kebutuhan sehari-hari di Balikpapan.,"Ahmadstore adalah toko yang terletak di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Namun, kategori usaha tidak ditemukan dalam informasi yang tersedia.",0.7722680568695068,0.7829506397247314,0.7775726318359375
export ikan,"-1,235292","116,8138362",Eksportir,export ikan adalah eksportir hasil laut yang berfokus pada pengiriman ikan segar dan olahan ke berbagai daerah dari Balikpapan.,"Export Ikan adalah eksportir yang beroperasi di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Mereka menangani ekspor ikan dengan skala besar ke seluruh wilayah Indonesia dan luar negeri.",0.7833338975906372,0.7993989586830139,0.7912849187850952
Robinson,"-1,2352921","116,8138361",Tempat Ibadah,Robinson adalah tempat ibadah yang digunakan masyarakat sekitar untuk kegiatan keagamaan di Balikpapan.,"Robinson adalah tempat ibadah yang terletak di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Tempat ini menyediakan ruang ibadah dan fasilitas lainnya untuk umum.",0.7838963270187378,0.8152970671653748,0.7992884516716003
Gudang Baru Awtwo,"-1,2359807","116,8127599",Gudang,Gudang Baru Awtwo merupakan gudang penyimpanan barang dan logistik yang berlokasi di Balikpapan.,"Gudang Baru Awtwo adalah gudang yang terletak di Kelurahan Penajam, Penajam Paser Utara, Kalimantan Timur. Fungsi gudang ini tidak disebutkan dalam informasi yang diberikan.",0.7337808012962341,0.775996744632721,0.7542985677719116
Edy,"-1,2356284","116,8135661",Klinik Perjalanan,Edy adalah klinik perjalanan yang menyediakan layanan kesehatan dan konsultasi bagi pelaku perjalanan di Balikpapan.,"Edy adalah klinik perjalanan yang terletak di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Menawarkan layanan medis untuk kebutuhan perjalanan dan kesehatan umum.",0.8095775246620178,0.8593496084213257,0.8337213397026062
JEMBATAN CINTA KAMPUNG BARU TENGAH,"-1,2359911","116,812912",Asosiasi Teknisi Pelabuhan dan Kanal Jalan,"JEMBATAN CINTA KAMPUNG BARU TENGAH merupakan ikon komunitas lokal dan jalur penghubung utama di kawasan Kampung Baru Tengah, Balikpapan.","JEMBATAN CINTA KAMPUNG BARU TENGAH adalah asosiasi teknisi pelabuhan dan kanal jalan di Baru Tengah, Balikpapan Barat, Kalimantan Timur. Menyediakan layanan teknis untuk infrastruktur di daerah tersebut.",0.8323639035224915,0.8773787021636963,0.8542787432670593
RedDoorz Plus near Sepinggan Airport 3,"-1,266491","116,8820315",Kategori tidak ditemukan,"RedDoorz Plus near Sepinggan Airport 3 adalah penginapan yang menawarkan fasilitas nyaman bagi wisatawan dan pelancong di sekitar Bandara Sepinggan, Balikpapan.","RedDoorz Plus near Sepinggan Airport 3 terletak di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Informasi kategori tidak tersedia.",0.8052908182144165,0.7655103802680969,0.7848968505859375
GUEST HOUSE BARKAH,"-1,2665366","116,882083",Kategori tidak ditemukan,GUEST HOUSE BARKAH merupakan penginapan sederhana yang menyediakan kamar bersih dan fasilitas dasar bagi tamu di Balikpapan.,"GUEST HOUSE BARKAH adalah tempat penginapan yang terletak di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Informasi kategori tidak tersedia.",0.8121963143348694,0.8294342160224915,0.8207247853279114
POSBAKUMADIN BALIKPAPAN,"-1,2651597","116,8819351",Pengacara,POSBAKUMADIN BALIKPAPAN adalah lembaga bantuan hukum yang memberikan layanan konsultasi dan pendampingan hukum bagi masyarakat di Balikpapan.,"POSBAKUMADIN BALIKPAPAN adalah pengacara yang berbasis di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyediakan jasa hukum untuk kebutuhan masyarakat lokal dan perusahaan.",0.80085688829422,0.8436950445175171,0.8217179775238037
TrueMoney Indonesia,"-1,2642403","116,8818643",Layanan Transfer Uang,TrueMoney Indonesia adalah layanan transfer uang yang menyediakan pengiriman dan penerimaan dana secara cepat dan aman di Balikpapan.,"TrueMoney Indonesia adalah layanan transfer uang yang tersedia di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Melayani transaksi cepat dan aman untuk kebutuhan harian.",0.8148468732833862,0.8577982783317566,0.8357711434364319
Pondok Karya Agung Blok BAA 57,"-1,2660706","116,8822283",Rumah Kaca,Pondok Karya Agung Blok BAA 57 merupakan rumah kaca yang digunakan untuk kegiatan pertanian atau budidaya tanaman di Balikpapan.,"Pondok Karya Agung Blok BAA 57 adalah rumah kaca di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menawarkan fasilitas dan akomodasi yang nyaman untuk tamu.",0.7875624895095825,0.8440410494804382,0.8148242831230164
Kingdom garage,"-1,2663036","116,8825229",Bengkel Mobil,"Kingdom garage adalah bengkel mobil yang menyediakan jasa servis, perawatan, dan modifikasi kendaraan di Balikpapan.","KINGDOM GARAGE adalah bengkel mobil yang menyajikan jasa perbaikan dan perawatan kendaraan di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyediakan layanan berkualitas untuk kendaraan berbagai jenis.",0.7601411938667297,0.845777690410614,0.800676167011261
Multitama Indonesia. PT,"-1,2664601","116,8819708",Toko Ban,Multitama Indonesia. PT merupakan toko ban yang menjual dan memasang berbagai jenis ban kendaraan di Balikpapan.,"Multitama Indonesia. PT adalah toko ban yang terletak di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyediakan berbagai jenis ban untuk kendaraan.",0.8246073126792908,0.8590596914291382,0.8414810299873352
Distributor Propolis,"-1,2651999","116,8820348",Layanan Distribusi,Distributor Propolis adalah layanan distribusi produk kesehatan berbasis propolis yang beroperasi di Balikpapan.,"Distributor Propolis adalah layanan distribusi yang menyediakan propolis di Sungai Nangka, Balikpapan Selatan, Kalimantan Timur. Menyajikan produk propolis dengan kualitas terbaik untuk kebutuhan konsumen.",0.7978440523147583,0.8835911154747009,0.8385311961174011
Gandrung Grafika,"-1,239135","116,8358122",Biro Iklan,"Gandrung Grafika merupakan biro iklan yang menyediakan jasa desain grafis, percetakan, dan promosi di Balikpapan.","Gandrung Grafika adalah biro iklan yang terletak di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan jasa iklan yang beragam untuk kebutuhan bisnis.",0.7807767987251282,0.8042479157447815,0.7923385500907898
Mr. Ting Wae,"-1,2385285","116,8354207",Ahli tembakau,Mr. Ting Wae adalah ahli tembakau yang bergerak dalam pengolahan dan perdagangan produk tembakau di Balikpapan.,"Mr. Ting Wae adalah ahli tembakau yang beroperasi di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan berbagai jenis tembakau untuk kebutuhan konsumen.",0.8005771040916443,0.8712368607521057,0.8344137668609619
Kampung Toga Muara Rapak,"-1,2374123","116,8348568",Taman,Kampung Toga Muara Rapak adalah taman edukatif yang menampilkan berbagai tanaman obat keluarga di Balikpapan.,"Kampung Toga Muara Rapak adalah taman yang terletak di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Tempat ini menawarkan suasana alam yang indah dan relaks untuk dikunjungi.",0.7689379453659058,0.8263317942619324,0.7966024279594421
RUMAH AL,"-1,2375654","116,8343172",Kantor Perusahaan,RUMAH AL merupakan kantor perusahaan yang digunakan sebagai pusat kegiatan administrasi dan operasional di Balikpapan.,"RUMAH AL adalah kantor perusahaan yang terletak di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Fungsi utama tempat ini sebagai pusat operasional perusahaan.",0.8045598268508911,0.857029378414154,0.8299661874771118
Gamon boba dan es jeruk peras,"-1,2381067","116,8341217",Kedai Sarapan & Makan Siang,Gamon boba dan es jeruk peras adalah kedai sarapan dan makan siang yang menyajikan minuman segar dan makanan ringan di Balikpapan.,"Gamon boba dan es jeruk peras adalah kedai sarapan & makan siang yang menyajikan berbagai menu di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan berbagai pilihan untuk memuaskan nafsu makan.",0.822774350643158,0.8882482051849365,0.8542585968971252
DrW Skincare Balikpapan (resmi),"-1,2393148","116,8349538",Toko Kosmetik,DrW Skincare Balikpapan (resmi) adalah toko kosmetik resmi yang menjual produk perawatan kulit dan kecantikan di Balikpapan.,"DrW Skincare Balikpapan adalah toko kosmetik yang menyediakan berbagai produk skincare di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menawarkan berbagai pilihan produk untuk kebutuhan kulit.",0.8286998271942139,0.8643697500228882,0.846159040927887
