nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_prediksi,BERT_P,BERT_R,BERT_F1
SNIPER CI IN CI (GUNSHOP 88),"-1,187394","116,9934297",Toko Airsoft Gun,SNIPER CI IN CI (GUNSHOP 88) merupakan toko airsoft gun yang menjual perlengkapan dan aksesoris senjata replika di Balikpapan.,SNIPER CI IN CI (GUNSHOP 88) adalah toko airsoft gun di sekitar lokasi yang terletak di Jalan/Ji. Tersedia berbagai jenis senjata airsoft untuk kebutuhan para penggemar airsoft.,0.8216889500617981,0.8246779441833496,0.8231807947158813
rentalmobilbpp354,"-1,2701875","116,8471373",Agen Sewa Mobil,rentalmobilbpp354 adalah agen sewa mobil yang menyediakan layanan penyewaan kendaraan harian maupun bulanan di Balikpapan.,rentalmobilbpp354 adalah agen sewa mobil yang menyediakan layanan sewa mobil di sekitar lokasi tersebut. Menawarkan berbagai jenis kendaraan untuk dipinjamkan kepada pelanggan.,0.8263495564460754,0.8294978141784668,0.8279207348823547
Mie Pedas Rempah / Mie Dower 62,"-1,2705814","116,8468263",Restoran Mie,Mie Pedas Rempah / Mie Dower 62 adalah restoran mie yang menawarkan menu mie pedas dengan berbagai tingkat kepedasan di Balikpapan.,Mie Pedas Rempah/Mie Dower 62 adalah restoran mie yang menyajikan hidangan mie pedas rempah di sekitar lokasi tersebut. Menawarkan berbagai pilihan menu mie untuk dinikmati.,0.8479626774787903,0.8638677000999451,0.8558412790298462
Kos-Kosan/Kontrakan/Sewa Rumah,"-1,2706094","116,8470514",Agen Sewa Mobil,"Kos-Kosan/Kontrakan/Sewa Rumah menyediakan layanan penyewaan tempat tinggal seperti kamar kos, kontrakan, dan rumah di area Balikpapan.",Kos-Kosan/Kontrakan/Sewa Rumah adalah agen sewa mobil yang menyediakan layanan sewa rumah di sekitar kota. Menawarkan alternatif tempat tinggal untuk kebutuhan perjalanan atau liburan.,0.8135442137718201,0.8048657774925232,0.8091817498207092
Garasi 2 Tak (house of boker),"-1,2701308","116,8474595",Bengkel Sepeda Motor,Garasi 2 Tak (house of boker) adalah bengkel sepeda motor yang melayani perbaikan dan modifikasi motor dua tak di Balikpapan.,GARASI 2 TAK (HOUSE OF BOKER) adalah bengkel sepeda motor yang menyediakan layanan perbaikan dan pemeliharaan sepeda motor di daerah tersebut. Melayani berbagai jenis sepeda motor dengan kualitas pelayanan yang profesional.,0.7326989769935608,0.7717587351799011,0.7517217993736267
KOTAKAN AJA,"-1,2706024","116,8468134",Paket Makanan Pokok,"KOTAKAN AJA menyediakan paket makanan pokok dan kebutuhan harian untuk masyarakat di Balikpapan, Kalimantan Timur.",KOTAKAN AJA adalah paket makanan pokok yang tersedia di sekitar lokasi tersebut. Menawarkan berbagai pilihan menu untuk memenuhi kebutuhan harian.,0.8186169266700745,0.8132818937301636,0.8159406185150146
Surya Bakti,"-1,2509652","116,8386484",Toko Elektronik,Surya Bakti adalah toko elektronik yang menjual berbagai peralatan listrik dan kebutuhan rumah tangga di Balikpapan.,"Surya Bakti adalah toko elektronik yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tersedia berbagai peralatan elektronik dan layanan teknis untuk memenuhi kebutuhan konsumen.",0.809240996837616,0.8549654483795166,0.831475019454956
Panca Jaya Motor. UD,"-1,2517342","116,8384735",Toko Aksesori Truk,Panca Jaya Motor. UD merupakan toko yang menjual berbagai aksesori dan suku cadang truk di Balikpapan.,Panca Jaya Motor. UD adalah toko aksesori truk yang terletak di sekitar area tersebut. Menyediakan berbagai aksesori untuk perawatan dan penyesuaian truk.,0.8065279722213745,0.825538694858551,0.8159226179122925
Kelompok Bermain Darul Ihsan,"-1,2512905","116,838634",Kelompok Bermain,Kelompok Bermain Darul Ihsan adalah lembaga pendidikan anak usia dini yang menyediakan kegiatan belajar dan bermain di Balikpapan.,Kelompok Bermain Darul Ihsan adalah kelompok bermain yang terletak di sekitar wilayah tertentu dengan lokasi tidak disebutkan secara spesifik.,0.7889818549156189,0.8102957606315613,0.7994967699050903
PT. GLOBAL ABADI SEJAHTERA,"-1,2516821","116,8373896",Agen Gas Elpiji,PT. GLOBAL ABADI SEJAHTERA adalah agen gas elpiji yang menyediakan distribusi dan penjualan gas untuk kebutuhan rumah tangga serta industri di Balikpapan.,PT. GLOBAL ABADI SEJAHTERA adalah agen gas ELPIJI yang terletak di sekitar lokasi tersebut. Melayani penjualan dan pemasangan gas ELPIJI untuk kebutuhan rumah tangga dan industri.,0.8587673902511597,0.882908284664154,0.8706705570220947
PT. Kinibalu Jaya Raya,"-1,2516","116,837439",Agen Gas Elpiji,"PT. Kinibalu Jaya Raya merupakan agen gas elpiji yang melayani penjualan serta pengiriman gas elpiji di wilayah Balikpapan, Kalimantan Timur.",PT. Kinibalu Jaya Raya adalah agen gas Elpiji yang terletak di sekitar lokasi tersebut. Melayani penjualan dan pemasangan gas Elpiji untuk kebutuhan rumah tangga dan industri.,0.8314975500106812,0.8344855904579163,0.8329889178276062
kios 45,"-1,2360465","116,8134757",Toko Perlengkapan Rumah,kios 45 adalah toko perlengkapan rumah yang menjual berbagai kebutuhan rumah tangga dan alat rumah di Balikpapan.,Kios 45 adalah toko perlengkapan rumah yang terletak di sekitar lokasi tersebut. Tersedia berbagai perlengkapan rumah tangga dan fasilitas lainnya untuk kebutuhan harian.,0.8242412209510803,0.8384636640548706,0.8312915563583374
Khanza cake & cookies,"-1,2360416","116,8135079",Toko Kue,"Khanza cake & cookies adalah toko kue yang menjual aneka kue, roti, dan cookies buatan rumahan di Balikpapan.",Khanza cake & cookies adalah toko kue yang menyajikan berbagai jenis kue dan cookie di sekitar lokasi tersebut. Tersedia berbagai pilihan kue untuk memuaskan selera.,0.8317475318908691,0.834541916847229,0.8331423401832581
Bengkel Las Biru,"-1,2340515","116,8150303",Pabrik mekanis,"Bengkel Las Biru merupakan pabrik mekanis yang bergerak di bidang pengelasan, perakitan, dan pembuatan struktur logam di Balikpapan.","Bengkel Las Biru adalah pabrik mekanis yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tersedia layanan perbaikan dan pengerjaan mekanik untuk berbagai jenis mesin.",0.8152852654457092,0.8372197151184082,0.8261069655418396
Driver,"-1,2628859","116,881602",Kompleks Townhouse,Driver adalah kawasan kompleks townhouse yang menyediakan hunian modern dan nyaman di Balikpapan.,"Saya tidak dapat menulis deskripsi usaha karena kategori ""Driver"" dan lokasi yang tidak jelas. Jika Anda ingin saya menulis deskripsi untuk kompleks townhouse lainnya, silakan berikan informasi yang lebih lengkap.",0.6428665518760681,0.6966983675956726,0.6687008142471313
Cahaya Harapan Community School,"-1,2630508","116,8803633",Sekolah pendidikan umum,Cahaya Harapan Community School merupakan sekolah pendidikan umum yang menyediakan layanan pendidikan dasar hingga menengah di Balikpapan.,Cahaya Harapan Community School adalah sekolah pendidikan umum yang terletak di sekitar lokasi tersebut. Sekolah ini menyediakan layanan pendidikan untuk anak-anak dan remaja di daerah tersebut.,0.8255563378334045,0.8658075332641602,0.8452029824256897
Balikpapan Agent Property,"-1,2574744","116,8831824",Agen Properti Komersial,Balikpapan Agent Property adalah agen properti komersial yang melayani penjualan dan penyewaan bangunan serta lahan usaha di Balikpapan.,Balikpapan Agent Property adalah agen properti komersial yang menawarkan layanan berbagai jenis properti di sekitar wilayah Balikpapan. Melayani kebutuhan investasi dan bisnis dengan berbagai opsi properti.,0.8436270356178284,0.8744442462921143,0.8587592840194702
Ekasolle Cakery,"-1,257341","116,8818955",Toko Kue,Ekasolle Cakery adalah toko kue yang menawarkan berbagai jenis cake dan pastry khas rumahan di Balikpapan.,Ekasolle Cakery adalah toko kue yang menyajikan berbagai jenis kue di sekitar lokasi tersebut. Tersedia berbagai pilihan kue untuk memuaskan selera Anda.,0.8304389119148254,0.8332141637802124,0.8318241834640503
HOMEIDE.PR [MAHAR & SESERAHAN],"-1,2571801","116,8814197",Toko Kerajinan Tangan,HOMEIDE.PR [MAHAR & SESERAHAN] adalah toko kerajinan tangan yang menjual mahar dan seserahan untuk keperluan pernikahan di Balikpapan.,HOMEIDE.PR [MAHAR & SESERAHAN] adalah toko kerajinan tangan yang menyajikan berbagai produk mahar dan sesera. Terletak di sekitar lokasi tertentu di kota.,0.8813469409942627,0.8765804171562195,0.8789571523666382
Pesona Alam Residence,"-1,2573862","116,8825877",Developer Rumah Hunian Khusus,"Pesona Alam Residence adalah developer rumah hunian khusus yang membangun perumahan modern dengan fasilitas lengkap di Balikpapan, Kalimantan Timur.",Pesona Alam Residence adalah developer rumah hunian khusus yang terletak di sekitar wilayah tertentu dengan alamat tidak disebutkan secara spesifik. Mereka menyediakan layanan pengembangan proyek perumahan yang berkualitas.,0.7976440191268921,0.8088215589523315,0.8031939268112183
Ahmadstore,"-1,2354013","116,8134388",Kategori tidak ditemukan,Ahmadstore merupakan toko serbaguna yang menjual berbagai kebutuhan sehari-hari di Balikpapan.,Tidak ada informasi yang tersedia tentang Ahmadstore karena kategori dan lokasi tidak dapat dipahami dengan akurat.,0.7029607892036438,0.6792963743209839,0.6909259557723999
export ikan,"-1,235292","116,8138362",Eksportir,export ikan adalah eksportir hasil laut yang berfokus pada pengiriman ikan segar dan olahan ke berbagai daerah dari Balikpapan.,Export Ikan adalah eksportir yang menyajikan produk ikan dengan kualitas tinggi di sekitar wilayah tersebut. Mereka menawarkan berbagai jenis ikan segar untuk kebutuhan domestik dan internasional.,0.7759219408035278,0.7871850728988647,0.781512975692749
Robinson,"-1,2352921","116,8138361",Tempat Ibadah,Robinson adalah tempat ibadah yang digunakan masyarakat sekitar untuk kegiatan keagamaan di Balikpapan.,"Robinson adalah tempat ibadah yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tempat ini menawarkan ruang ibadah dan fasilitas lainnya untuk kebutuhan umat.",0.7750096917152405,0.8083938360214233,0.7913498282432556
Gudang Baru Awtwo,"-1,2359807","116,8127599",Gudang,Gudang Baru Awtwo merupakan gudang penyimpanan barang dan logistik yang berlokasi di Balikpapan.,"Gudang Baru Awtwo adalah gudang yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tidak ada informasi lebih lanjut tentang khususnya apa yang ditawarkan oleh tempat ini.",0.75004643201828,0.7932654023170471,0.7710508108139038
Edy,"-1,2356284","116,8135661",Klinik Perjalanan,Edy adalah klinik perjalanan yang menyediakan layanan kesehatan dan konsultasi bagi pelaku perjalanan di Balikpapan.,Edy adalah klinik perjalanan yang terletak di sekitar lokasi tertentu di kota tersebut. Klinik ini menyediakan layanan medis untuk kebutuhan perjalanan dan kesehatan umum.,0.820682168006897,0.8314305543899536,0.8260213732719421
JEMBATAN CINTA KAMPUNG BARU TENGAH,"-1,2359911","116,812912",Asosiasi Teknisi Pelabuhan dan Kanal Jalan,"JEMBATAN CINTA KAMPUNG BARU TENGAH merupakan ikon komunitas lokal dan jalur penghubung utama di kawasan Kampung Baru Tengah, Balikpapan.",JEMBATAN CINTA KAMPUNG BARU TENGAH adalah asosiasi teknisi pelabuhan dan kanal jalan yang terletak di sekitar wilayah Kampung Baru Tengah. Jembatan ini merupakan salah satu infrastruktur penting di daerah tersebut.,0.8381803631782532,0.8619378805160522,0.8498931527137756
RedDoorz Plus near Sepinggan Airport 3,"-1,266491","116,8820315",Kategori tidak ditemukan,"RedDoorz Plus near Sepinggan Airport 3 adalah penginapan yang menawarkan fasilitas nyaman bagi wisatawan dan pelancong di sekitar Bandara Sepinggan, Balikpapan.","Tidak tersedia informasi yang cukup untuk menentukan kategori dari RedDoorz Plus near Sepinggan Airport 3. Tempat ini terletak di sekitar Sepinggan Airport, Pekanbaru, Riau.",0.8017069101333618,0.7671135663986206,0.7840288281440735
GUEST HOUSE BARKAH,"-1,2665366","116,882083",Kategori tidak ditemukan,GUEST HOUSE BARKAH merupakan penginapan sederhana yang menyediakan kamar bersih dan fasilitas dasar bagi tamu di Balikpapan.,GUEST HOUSE BARKAH terletak di sekitar lokasi yang tidak diberikan informasi rinci. Tidak ada informasi lebih lanjut tentang lokasinya yang dapat disampaikan.,0.7654041051864624,0.760443925857544,0.7629159688949585
POSBAKUMADIN BALIKPAPAN,"-1,2651597","116,8819351",Pengacara,POSBAKUMADIN BALIKPAPAN adalah lembaga bantuan hukum yang memberikan layanan konsultasi dan pendampingan hukum bagi masyarakat di Balikpapan.,POSBAKUMADIN BALIKPAPAN adalah pengacara yang berbasis di sekitar Balikpapan. Melayani berbagai kebutuhan hukum bagi masyarakat setempat dan sekitarnya.,0.850470781326294,0.8664460182189941,0.8583840727806091
TrueMoney Indonesia,"-1,2642403","116,8818643",Layanan Transfer Uang,TrueMoney Indonesia adalah layanan transfer uang yang menyediakan pengiriman dan penerimaan dana secara cepat dan aman di Balikpapan.,TrueMoney Indonesia adalah layanan transfer uang yang tersedia di sekitar lokasi tersebut. Melayani berbagai kebutuhan keuangan dengan aman dan cepat.,0.820670485496521,0.8172878623008728,0.8189757466316223
Pondok Karya Agung Blok BAA 57,"-1,2660706","116,8822283",Rumah Kaca,Pondok Karya Agung Blok BAA 57 merupakan rumah kaca yang digunakan untuk kegiatan pertanian atau budidaya tanaman di Balikpapan.,Pondok Karya Agung Blok BAA 57 adalah rumah kaca terletak di sekitar lokasi yang tidak disebutkan secara spesifik. Tidak ada informasi lebih lanjut tentang lokasinya.,0.7403916716575623,0.786780834197998,0.7628816366195679
Kingdom garage,"-1,2663036","116,8825229",Bengkel Mobil,"Kingdom garage adalah bengkel mobil yang menyediakan jasa servis, perawatan, dan modifikasi kendaraan di Balikpapan.",Kingdom garage adalah bengkel mobil yang menyajikan jasa perbaikan dan perawatan mobil di sekitar lokasi tersebut. Melayani berbagai jenis layanan untuk kendaraan bermotor.,0.8168641924858093,0.8393062949180603,0.8279331922531128
Multitama Indonesia. PT,"-1,2664601","116,8819708",Toko Ban,Multitama Indonesia. PT merupakan toko ban yang menjual dan memasang berbagai jenis ban kendaraan di Balikpapan.,Multitama Indonesia. PT adalah toko ban yang terletak di sekitar lokasi tersebut.,0.8433103561401367,0.7487262487411499,0.7932085990905762
Distributor Propolis,"-1,2651999","116,8820348",Layanan Distribusi,Distributor Propolis adalah layanan distribusi produk kesehatan berbasis propolis yang beroperasi di Balikpapan.,Distributor Propolis adalah layanan distribusi yang menyediakan propolis dengan jaringan di sekitar wilayah tersebut. Melayani kebutuhan propolis untuk berbagai keperluan.,0.8023617267608643,0.8248004913330078,0.8134263753890991
Gandrung Grafika,"-1,239135","116,8358122",Biro Iklan,"Gandrung Grafika merupakan biro iklan yang menyediakan jasa desain grafis, percetakan, dan promosi di Balikpapan.","Gandrung Grafika adalah biro iklan yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tidak ada informasi lebih lanjut tentang lokasinya.",0.7574406266212463,0.7646929621696472,0.7610495090484619
Mr. Ting Wae,"-1,2385285","116,8354207",Ahli tembakau,Mr. Ting Wae adalah ahli tembakau yang bergerak dalam pengolahan dan perdagangan produk tembakau di Balikpapan.,"Saya tidak dapat menampilkan lokasi secara spesifik karena tidak ada informasi yang cukup untuk mengidentifikasi lokasi tersebut dengan akurat. Namun, Mr. Ting Wae adalah ahli tembakau di sekitar lokasi tersebut.",0.7225878238677979,0.7872833013534546,0.7535495162010193
Kampung Toga Muara Rapak,"-1,2374123","116,8348568",Taman,Kampung Toga Muara Rapak adalah taman edukatif yang menampilkan berbagai tanaman obat keluarga di Balikpapan.,Kampung Toga Muara Rapak adalah taman yang terletak di sekitar lokasi tersebut. Informasi lokasi tidak disertakan dalam deskripsi.,0.7442784309387207,0.7718616724014282,0.7578191161155701
RUMAH AL,"-1,2375654","116,8343172",Kantor Perusahaan,RUMAH AL merupakan kantor perusahaan yang digunakan sebagai pusat kegiatan administrasi dan operasional di Balikpapan.,"RUMAH AL adalah kantor perusahaan yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tidak ada informasi lebih lanjut tentang alamatnya yang pasti.",0.7630494832992554,0.7859545946121216,0.7743327021598816
Gamon boba dan es jeruk peras,"-1,2381067","116,8341217",Kedai Sarapan & Makan Siang,Gamon boba dan es jeruk peras adalah kedai sarapan dan makan siang yang menyajikan minuman segar dan makanan ringan di Balikpapan.,Gamon boba dan es jeruk peras adalah kedai sarapan & makan siang yang terletak di sekitar lokasi tertentu di kota. Menyajikan berbagai pilihan makanan ringan seperti boba dan es jeruk peras.,0.8499388098716736,0.858624279499054,0.8542594909667969
DrW Skincare Balikpapan (resmi),"-1,2393148","116,8349538",Toko Kosmetik,DrW Skincare Balikpapan (resmi) adalah toko kosmetik resmi yang menjual produk perawatan kulit dan kecantikan di Balikpapan.,"DrW Skincare Balikpapan adalah toko kosmetik yang menyajikan berbagai produk skincare di sekitar Lowokwaru, Malang, Jawa Timur.",0.8490288853645325,0.8440473079681396,0.8465307950973511
